PIANTE,NOME LATINO,ZONIZZAZIONE,P-E / A -I,PROGETTAZIONE FUTURA,SCHEDA BOTANICA SI/NO,CURIOSITA' SI/NO
Achillea,Achillea millefolium L.,Percorso Alimurgiche ,Entrambi - cambia grafica,,,
Aglio,Allium sativum L.,Verdure,Primavera/Estate,,,
Albicocco,Prunus armeniaca L.,Arboree da Frutto,Entrambi - cambia grafica,,,
Amaranto,Amaranthus hybridus L. subsp. caudatus,Percorso Alimurgiche ,Primavera/Estate,,,
Barbabietola,Beta vulgaris rubra L.,Verdure,Autunno/Inverno,,,
Basilico,Ocimum basilicum L. ,Percorso Aromatiche,Primavera/Estate,,,
Basilico Tulsi ,Ocimum tenuiflorum L.,Percorso Alimurgiche ,Primavera/Estate,,,
Borragine,Borago officinalis L.,Percorso Alimurgiche ,Primavera/Estate,,,
Broccolo,Brassica oleracea var. italica L.,Verdure,Autunno/Inverno,,,
Caco,Diospyros kaki L.,Arboree da Frutto,Entrambi - cambia grafica,,,
Calendula,Calendula officinalis L.,Percorso Alimurgiche ,Primavera/Estate,,,
Carciofo,Cinara cardunculus L.,Verdure,Entrambi - cambia grafica,,,
Cavoletti di Bruxxelles,Brassica oleracea cv. gemmifera DC.,Verdure,Autunno/Inverno,,,
Cavolfiore,Brassica oleracea L. conv. botrytis,Verdure,Autunno/Inverno,,,
Cavolo Cappuccio,Brassica capitata L.,Verdure,Autunno/Inverno,,,
Cavolo Nero,Brassica oleracea acephala var. palmifolia L.,Verdure,Autunno/Inverno,,,
Cetriolo,Cucumis sativus L.,Verdure,Primavera/Estate,,,
Cipolla,Allium cepa L. ,Verdure,Primavera/Estate,,,
Echinacea,Echinacea purpurea Moeanch.,altro,Primavera/Estate,,,
Fagiolo,Phaseolus vulgaris L.,Verdure,Primavera/Estate,,,
Finocchietto,Phoeniculum vulgare Mill.,altro,Entrambi - cambia grafica,,,
Girasole,Helianthus annuus L.,Fiori ,Primavera/Estate,,,
Lavanda,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Lino,,Fiori ,Primavera/Estate,,,
Lippia Limoncina,,altro,Primavera/Estate,,,
Melissa,,Percorso Aromatiche,Primavera/Estate,,,
Melograno,Punica granatum L.,Arboree da Frutto,Entrambi - cambia grafica,,,
Menta,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Menta Piperita ,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Mirto,,Percorso Alimurgiche ,Entrambi - cambia grafica,,,
Nasturzio,,Percorso Alimurgiche ,Primavera/Estate,,,
Origano,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Ortica,,Percorso Alimurgiche ,Primavera/Estate,,,
Passiflora,,altro,Entrambi - cambia grafica,,,
Peperoncino,,Verdure,Primavera/Estate,,,
Pero,,Arboree da Frutto,Entrambi - cambia grafica,,,
Pomodoro,Lycopersicon esculentum ,Verdure,Primavera/Estate,,,
Prezzemolo,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Rabarbaro,Rheum rhaponticum ,Verdure,Primavera/Estate,,,
Radicchio,,Verdure,Primavera/Estate,,,
Rafano,Armoracea rusticana L.,Percorso Alimurgiche ,Primavera/Estate,,,
Ravanello,Raphanus sativus L.,Verdure,Autunno/Inverno,,,
Rosmarino,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Rucola,,Verdure,Primavera/Estate,,,
Ruta,,Percorso Alimurgiche ,Entrambi - cambia grafica,,,
Salvia,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Tarassaco,,Percorso Alimurgiche ,Primavera/Estate,,,
Timo,,Percorso Aromatiche,Entrambi - cambia grafica,,,
Verza,Brassica oleracea L. var. sabauda L.,Verdure,Autunno/Inverno,,,
Vinca,Vinca SP.,Fiori ,Primavera/Estate,,,
Vite,Vitis vinifera L.,Arboree da Frutto,Entrambi - cambia grafica,,,
Zucca,Cucurbita maxima DC.,Verdure,Autunno/Inverno,,,
Zucchina,Cucurbita pepo L.,Verdure,Primavera/Estate,,,
